id,passorfail
73612,0.7832
73613,0.6175
73614,0.5741
73615,0.8879
73616,0.9902
73617,0.8499
73618,0.1399
73619,0.2689
73620,0.3538
73621,0.4261
73622,0.8603
73623,0.2251
73624,0.2083
73625,0.9708
73626,0.6932
73627,0.8439
73628,0.2418
73629,0.3365
73630,0.9919
73631,0.8049
73632,0.0046
73633,0.9776
73634,0.0259
73635,0.9684
73636,0.8329
73637,0.752
73638,0.0258
73639,0.7294
73640,0.1032
73641,0.8023
73642,0.5542
73643,0.4442
73644,0.0114
73645,0.5667
73646,0.2428
73647,0.2714
73648,0.8642
73649,0.4002
73650,0.2018
73651,0.3135
73652,0.1787
73653,0.6768
73654,0.5021
73655,0.3055
73656,0.6081
73657,0.817
73658,0.9531
73659,0.6752
73660,0.816
73661,0.2476
73662,0.6612
73663,0.3575
73664,0.4292
73665,0.8662
73666,0.811
73667,0.7533
73668,0.5429
73669,0.4567
73670,0.6556
73671,0.1456
73672,0.8061
73673,0.2589
73674,0.1175
73675,0.6135
73676,0.1449
73677,0.0526
73678,0.8459
73679,0.461
73680,0.4683
73681,0.8159
73682,0.0285
73683,0.6018
73684,0.047
73685,0.7455
73686,0.8471
73687,0.0501
73688,0.4043
73689,0.6195
73690,0.1383
73691,0.5144
73692,0.175
73693,0.3382
73694,0.5992
73695,0.0992
73696,0.0728
73697,0.9209
73698,0.4028
73699,0.777
73700,0.5486
73701,0.5555
73702,0.1261
73703,0.2644
73704,0.8792
73705,0.0111
73706,0.72
73707,0.6679
73708,0.6598
73709,0.2395
73710,0.323
73711,0.6257
73712,0.907
73713,0.7589
73714,0.7998
73715,0.845
73716,0.8294
73717,0.5037
73718,0.1068
73719,0.826
73720,0.1022
73721,0.9098
73722,0.0217
73723,0.6238
73724,0.6072
73725,0.8422
73726,0.2378
73727,0.1462
73728,0.5549
73729,0.5592
73730,0.9568
73731,0.4929
73732,0.4595
73733,0.6722
73734,0.8071
73735,0.1011
73736,0.0483
73737,0.5665
73738,0.3607
73739,0.5183
73740,0.4753
73741,0.7226
73742,0.9016
73743,0.3627
73744,0.037
73745,0.1438
73746,0.2471
73747,0.6852
73748,0.4371
73749,0.4495
73750,0.8869
73751,0.4926
73752,0.007
73753,0.5162
73754,0.6293
73755,0.4668
73756,0.5739
73757,0.7804
73758,0.0062
73759,0.0451
73760,0.2347
73761,0.9676
73762,0.6458
73763,0.2196
73764,0.2179
73765,0.104
73766,0.9234
73767,0.2359
73768,0.3859
73769,0.9146
73770,0.5379
73771,0.7522
73772,0.06
73773,0.0242
73774,0.3187
73775,0.9689
73776,0.4016
73777,0.0975
73778,0.3998
73779,0.4634
73780,0.3732
73781,0.3165
73782,0.912
73783,0.2316
73784,0.404
73785,0.7111
73786,0.7895
73787,0.0619
73788,0.6199
73789,0.1248
73790,0.4194
73791,0.2463
73792,0.9094
73793,0.2302
73794,0.9418
73795,0.8032
73796,0.0949
73797,0.898
73798,0.9843
73799,0.644
73800,0.006
73801,0.8819
73802,0.4896
73803,0.9067
73804,0.0228
73805,0.3149
73806,0.553
73807,0.5456
73808,0.2404
73809,0.9416
73810,0.8918
73811,0.5946
73812,0.4197
73813,0.7087
73814,0.5173
73815,0.0828
73816,0.1161
73817,0.7263
73818,0.8626
73819,0.9606
73820,0.0953
73821,0.6565
73822,0.1119
73823,0.0362
73824,0.6742
73825,0.7435
73826,0.3833
73827,0.3534
73828,0.2808
73829,0.4374
73830,0.3595
73831,0.2612
73832,0.9111
73833,0.4462
73834,0.5482
73835,0.8823
73836,0.2444
73837,0.9517
73838,0.5711
73839,0.0909
73840,0.8082
73841,0.9298
73842,0.0094
73843,0.05
73844,0.0651
73845,0.7982
73846,0.0206
73847,0.9143
73848,0.5746
73849,0.495
73850,0.8603
73851,0.2618
73852,0.6531
73853,0.6447
73854,0.8831
73855,0.1804
73856,0.5889
73857,0.7244
73858,0.4282
73859,0.1088
73860,0.17
73861,0.7574
73862,0.9396
73863,0.921
73864,0.2047
73865,0.6933
73866,0.0586
73867,0.4754
73868,0.4048
73869,0.4237
73870,0.3339
73871,0.5895
73872,0.6963
73873,0.6867
73874,0.434
73875,0.687
73876,0.6522
73877,0.7034
73878,0.6556
73879,0.4274
73880,0.0556
73881,0.5566
73882,0.9433
73883,0.6286
73884,0.9558
73885,0.1984
73886,0.4355
73887,0.545
73888,0.2379
73889,0.6279
73890,0.9503
73891,0.2028
73892,0.1958
73893,0.61
73894,0.1942
73895,0.0662
73896,0.2071
73897,0.1333
73898,0.2536
73899,0.2704
73900,0.9228
73901,0.6642
73902,0.9007
73903,0.6043
73904,0.3284
73905,0.893
73906,0.2103
73907,0.7474
73908,0.7172
73909,0.7416
73910,0.5689
73911,0.205
73912,0.2269
73913,0.6071
73914,0.2395
73915,0.5645
73916,0.3585
73917,0.1765
73918,0.6671
73919,0.0293
73920,0.675
73921,0.2176
73922,0.6112
73923,0.6701
73924,0.1793
73925,0.4908
73926,0.4537
73927,0.2953
73928,0.9321
73929,0.9166
73930,0.4139
73931,0.6592
73932,0.4283
73933,0.2424
73934,0.7827
73935,0.2674
73936,0.6012
73937,0.7279
73938,0.4867
73939,0.6171
73940,0.315
73941,0.8776
73942,0.1545
73943,0.5185
73944,0.8042
73945,0.6027
73946,0.3638
73947,0.2567
73948,0.09
73949,0.6748
73950,0.4676
73951,0.8221
73952,0.2344
73953,0.17
73954,0.7459
73955,0.9036
73956,0.2597
73957,0.4121
73958,0.8881
73959,0.62
73960,0.4572
73961,0.2438
73962,0.949
73963,0.4718
73964,0.1247
73965,0.2923
73966,0.6286
73967,0.2542
73968,0.6051
73969,0.4855
73970,0.8145
73971,0.1478
73972,0.616
73973,0.4966
73974,0.2518
73975,0.4969
73976,0.8201
73977,0.6211
73978,0.5554
73979,0.7208
73980,0.8289
73981,0.7102
73982,0.8653
73983,0.1636
73984,0.6548
73985,0.1127
73986,0.6773
73987,0.4647
73988,0.9947
73989,0.7234
73990,0.7173
73991,0.9592
73992,0.2496
73993,0.5578
73994,0.9157
73995,0.5354
73996,0.5166
73997,0.8157
73998,0.0097
73999,0.9555
74000,0.3761
74001,0.0381
74002,0.2423
74003,0.1914
74004,0.0175
74005,0.7284
74006,0.6645
74007,0.3346
74008,0.612
74009,0.8702
74010,0.3575
74011,0.7007
74012,0.7155
74013,0.7215
74014,0.2446
